filename,Max_Metal_Charge
DB0-m2_o21_o27_f0_pcu,0.975898
DB0-m3_o16_o48_f0_fsc,1.04776
DB5-hypotheticalMOF_5058832_2_0_2_12_9_0_repeat,1.114576
DB0-m2_o12_o27_f0_pcu,0.894767
DB0-m3_o85_o23_f0_fsc,1.115253
DB5-hypotheticalMOF_6001971_0_0_3_8_9_6_repeat,1.59273
DB0-m29_o93_o1510_f0_pts,1.461413
DB0-m2_o18_o29_f0_pcu,0.871331
DB0-m2_o3_o6_f0_pcu,0.891414
DB1-Cu2O8N2-DPAC_A-irmof7_A_No327_repeat,1.158014
DB0-m29_o89_o45_f0_pts,1.441368
DB0-m3_o3_o6_f0_nbo,1.332793
DB5-hypotheticalMOF_5036877_3_2_1_18_1_3_repeat,0.989377
DB0-m2_o8_o24_f0_pcu,0.917741
DB0-m29_o83_o148_f0_pts,1.365049
DB0-m3_o25_o153_f0_fsc,1.086496
DB0-m2_o7_o12_f0_pcu,0.884171
DB6-cuf_10274_repeat,0.816885
DB5-hypotheticalMOF_26846_0_0_1_22_21_4_repeat,1.023528
DB0-m29_o85_o102_f0_pts,1.404017
DB13-tbo-Syn062511_repeat,0.992929
DB0-m3_o24_o1490_f0_fsc,0.987103
DB0-m3_o160_o510_f0_fsc,1.081293
DB0-m2_o18_o27_f0_pcu,0.916328
DB0-m2_o6_o14_f0_pcu,0.99576
DB0-m29_o83_o102_f0_pts,1.432967
DB0-m29_o99_o102_f0_pts,1.394594
DB0-m3_o450_o156_f0_fsc,1.067065
DB5-hypotheticalMOF_22733_0_0_1_0_10_4_repeat,1.041722
DB0-m2_o2_o9_f0_pcu,0.943859
DB0-m2_o14_o22_f0_nbo,0.978879
DB0-m2_o8_o14_f0_pcu,0.92865
DB0-m9_o18_o25_f0_sra,1.550822
DB5-hypotheticalMOF_5015568_2_2_0_3_12_8_repeat,1.288716
DB12-OTOVIE_clean_repeat,1.036074
DB0-m3_o22_o24_f0_nbo,1.325876
DB0-m3_o83_o23_f0_fsc,1.050202
DB13-hxg-Syn025930_repeat,1.484634
DB0-m3_o24_o27_f0_pcu,1.09305
DB0-m3_o10_o16_f0_pcu,1.041364
DB0-m3_o25_o1510_f0_fsc,1.111112
DB0-m3_o490_o158_f0_fsc,0.984594
DB7-ddmof_254_repeat,1.25811
